SNR name,RA_deg,Dec_deg,l_deg,b_deg,Diameter_arcmin,FluxDensity_Jy,Table,Catalog
G278.9+1.3,149.96249999999998,-53.33333333,278.94122673908765,1.3513937807022995,200.0,30.0,2,ASKAP
G284.3-1.8,154.5625,-59.0,284.30872186696257,-1.783069489,24.0,14.0,2,ASKAP
G286.1-1.1,158.225,-59.41666667,286.1204532230081,-1.144606462,55.0,1.4,2,ASKAP
G288.8-6.3,157.58333333333331,-65.25,288.85305521913165,-6.310377104,108.0,7.0,2,ASKAP
G290.1-0.8,165.77083333333331,-60.93333333,290.14941872277745,-0.77956304,19.0,42.0,2,ASKAP
G291.0+0.1,168.0708333333333,-60.48333333,291.0107504502036,0.07291835,30.0,22.0,2,ASKAP
G292.0+1.8,171.14999999999998,-59.26666667,292.03027427765085,1.754620376377365,12.0,14.5,2,ASKAP
G292.2-0.5,169.83333333333331,-61.46666667,292.16295513146315,-0.535724953,20.0,5.2,2,ASKAP
G296.1-0.5,177.79166666666666,-62.56666667,296.0529032129825,-0.502647216,37.0,8.0,2,ASKAP
G299.2-2.9,183.80416666666665,-65.5,299.1849228958987,-2.892107594,18.0,0.66,2,ASKAP
G301.4-1.0,189.47916666666663,-63.81666667,301.4408573230472,-0.984071639,37.0,3.5,2,ASKAP
G308.5-1.4,205.40416666666667,-63.68333333,308.4591631451684,-1.351374386,18.0,1.1,2,ASKAP
G308.8-0.1,205.625,-62.38333333,308.81091419681866,-0.095859023,30.0,16.0,2,ASKAP
G310.6-1.6,210.1875,-63.43333333,310.5898349378788,-1.596821457,2.5,0.281,2,ASKAP
G310.8-0.4,210.0,-62.28333333,310.8106598706806,-0.464979118,12.0,9.0,2,ASKAP
G311.5-0.3,211.4083333333333,-61.96666667,311.5305203262388,-0.339913382,5.0,3.3,2,ASKAP
G312.4-0.4,213.25,-61.73333333,312.42947456987963,-0.374838825,38.0,45.0,2,ASKAP
G312.5-3.0,215.25,-64.2,312.48813054815133,-3.002700235,20.0,3.5,2,ASKAP
G315.4-0.3,218.97916666666663,-60.6,315.4132829161204,-0.285252964,24.0,8.0,2,ASKAP
G315.4-2.3,220.75,-62.5,315.4168310552162,-2.363928064,42.0,32.0,2,ASKAP
G315.9-0.0,219.60416666666663,-60.18333333,315.86187838227244,-0.025016659,25.0,0.75,2,ASKAP
